OrderId [number],Type [string],Chips [bool],Drink [bool],Value [€], Timestamp [s]
1055 , chicken , 1 , 1 , 11.500000 , 24621.774584
1055 , meat , 1 , 1 , 12.500000 , 24621.774584
1056 , meat , 1 , 1 , 12.500000 , 25211.607887
1056 , veggy , 1 , 1 , 10.500000 , 25211.607887
1057 , chicken , 1 , 1 , 11.500000 , 25342.702929
1057 , meat , 1 , 1 , 12.500000 , 25342.702929
1057 , meat , 0 , 0 , 7.000000 , 25342.702929
1059 , meat , 0 , 1 , 9.500000 , 25611.121797
1058 , chicken , 1 , 1 , 11.500000 , 25637.134208
1058 , veggy , 0 , 1 , 7.500000 , 25637.134208
1058 , meat , 1 , 1 , 12.500000 , 25637.134208
1058 , meat , 0 , 1 , 9.500000 , 25637.134208
1060 , meat , 1 , 1 , 12.500000 , 25868.074335
1060 , veggy , 1 , 1 , 10.500000 , 25868.074335
1060 , chicken , 0 , 1 , 8.500000 , 25868.074335
1061 , veggy , 1 , 1 , 10.500000 , 25981.451841
1061 , meat , 0 , 1 , 9.500000 , 25981.451841
1061 , meat , 0 , 1 , 9.500000 , 25981.451841
1062 , veggy , 1 , 1 , 10.500000 , 26113.120438
1062 , meat , 1 , 1 , 12.500000 , 26113.120438
1062 , chicken , 1 , 1 , 11.500000 , 26113.120438
1063 , chicken , 1 , 1 , 11.500000 , 26452.818543
1063 , chicken , 1 , 0 , 9.000000 , 26452.818543
1063 , veggy , 0 , 1 , 7.500000 , 26452.818543
1064 , meat , 1 , 1 , 12.500000 , 27450.110439
1064 , chicken , 1 , 1 , 11.500000 , 27450.110439
1064 , chicken , 1 , 1 , 11.500000 , 27450.110439
1065 , chicken , 1 , 1 , 11.500000 , 27758.272658
1065 , veggy , 0 , 1 , 7.500000 , 27758.272658
1065 , meat , 1 , 1 , 12.500000 , 27758.272658
1065 , veggy , 0 , 1 , 7.500000 , 27758.272658
1066 , veggy , 0 , 1 , 7.500000 , 28800.907964
1066 , chicken , 1 , 1 , 11.500000 , 28800.907964
1067 , chicken , 1 , 1 , 11.500000 , 28934.259514
1067 , veggy , 0 , 1 , 7.500000 , 28934.259514
1067 , chicken , 0 , 1 , 8.500000 , 28934.259514
1067 , veggy , 1 , 1 , 10.500000 , 28934.259514
1068 , meat , 1 , 1 , 12.500000 , 28999.793237
1068 , veggy , 1 , 1 , 10.500000 , 28999.793237
1068 , meat , 1 , 1 , 12.500000 , 28999.793237
1068 , meat , 1 , 1 , 12.500000 , 28999.793237
1068 , veggy , 1 , 1 , 10.500000 , 28999.793237
1069 , veggy , 1 , 1 , 10.500000 , 29132.514756
1069 , meat , 1 , 1 , 12.500000 , 29132.514756
1069 , veggy , 0 , 1 , 7.500000 , 29132.514756
1070 , chicken , 1 , 1 , 11.500000 , 29649.585963
1071 , chicken , 1 , 0 , 9.000000 , 30004.771362
1071 , chicken , 1 , 1 , 11.500000 , 30004.771362
1071 , meat , 1 , 1 , 12.500000 , 30004.771362
1071 , meat , 1 , 1 , 12.500000 , 30004.771362
1072 , meat , 1 , 0 , 10.000000 , 30560.397274
1072 , chicken , 1 , 1 , 11.500000 , 30560.397274
1073 , meat , 1 , 1 , 12.500000 , 30753.462697
1073 , chicken , 1 , 1 , 11.500000 , 30753.462697
1073 , meat , 1 , 1 , 12.500000 , 30753.462697
1074 , chicken , 0 , 1 , 8.500000 , 30795.042159
1075 , chicken , 0 , 1 , 8.500000 , 31100.294934
1075 , chicken , 0 , 0 , 6.000000 , 31100.294934
1075 , meat , 1 , 1 , 12.500000 , 31100.294934
1076 , chicken , 1 , 1 , 11.500000 , 31351.961059
1077 , veggy , 1 , 1 , 10.500000 , 32119.897489
1078 , veggy , 1 , 1 , 10.500000 , 32379.598084
1078 , chicken , 1 , 1 , 11.500000 , 32379.598084
1078 , chicken , 1 , 1 , 11.500000 , 32379.598084
1078 , meat , 1 , 1 , 12.500000 , 32379.598084
1079 , veggy , 1 , 1 , 10.500000 , 32440.247785
1079 , meat , 1 , 0 , 10.000000 , 32440.247785
1080 , meat , 0 , 1 , 9.500000 , 33959.117882
1080 , meat , 1 , 1 , 12.500000 , 33959.117882
1080 , veggy , 0 , 1 , 7.500000 , 33959.117882
1080 , veggy , 0 , 1 , 7.500000 , 33959.117882
